Date,Open,High,Low,Close,Adj Close,Volume
2001-02-09,4.3,4.33,4.275,4.285,4.110568,181780
2001-02-12,4.3,4.3,4.27,4.29,4.115364,128376
2001-02-13,4.3,4.33,4.29,4.305,4.129754,236002
2001-02-14,4.29,4.3,4.245,4.26,4.0865860000000005,197886
2001-02-15,4.23,4.24,4.22,4.24,4.0674,295774
2001-02-16,4.2225,4.23,4.17,4.18,4.009842,128807
2001-02-19,4.19,4.19,4.15,4.165,3.995452,137419
2001-02-20,4.19,4.255,4.19,4.215,4.043417,225159
2001-02-21,4.18,4.2,4.14,4.155,3.9858589999999996,142636
2001-02-22,4.11,4.14,4.1,4.115,3.947488,221442
2001-02-23,4.115,4.14,4.04,4.055,3.889931,156457
2001-02-26,4.055,4.0775,4.03,4.045,3.8803379999999996,369869
2001-02-27,4.04,4.14,4.04,4.115,3.947488,270060
2001-02-28,4.7514,4.7514,4.7514,4.7514,4.557982,0
2001-03-01,4.125,4.14,4.08,4.1,3.933099,549559
2001-03-02,4.1029,4.115,4.04,4.06,3.8947269999999996,216277
2001-03-05,4.04,4.07,3.99,4.01,3.8467629999999997,200578
2001-03-06,4.03,4.1,4.02,4.08,3.9139129999999995,142490
2001-03-07,4.09,4.13,4.07,4.12,3.952285,252895
2001-03-08,4.11,4.15,4.11,4.14,3.9714709999999998,328850
2001-03-09,4.14,4.14,4.04,4.045,3.8803379999999996,312545
2001-03-12,3.99,4.02,3.94,3.945,3.7844089999999997,233855
2001-03-13,3.84,3.93,3.84,3.905,3.7460370000000003,163033
2001-03-14,3.9,3.94,3.7,3.825,3.6692940000000003,186496
2001-03-15,3.83,3.89,3.82,3.875,3.717258,174260
2001-03-16,3.9,3.9,3.83,3.845,3.688479,191523
2001-03-19,3.82,3.88,3.81,3.82,3.6644970000000003,294204
2001-03-20,3.82,3.87,3.82,3.83,3.67409,167781
2001-03-21,3.8,3.8,3.69,3.77,3.616533,172960
2001-03-22,3.745,3.75,3.555,3.565,3.4198779999999998,352179
2001-03-23,3.61,3.72,3.61,3.67,3.520603,279247
2001-03-26,3.73,3.83,3.73,3.815,3.659701,158144
2001-03-27,3.8,3.9,3.765,3.895,3.736444,249565
2001-03-28,3.84,3.935,3.8,3.815,3.659701,284300
2001-03-29,3.873,3.873,3.73,3.75,3.597347,474077
2001-03-30,4.4799,4.4799,4.4799,4.4799,4.297534,0
2001-04-02,3.76,3.79,3.76,3.775,3.6213290000000002,213876
2001-04-03,3.75,3.77,3.72,3.74,3.587754,397722
2001-04-04,3.7,3.7,3.61,3.67,3.520603,373960
2001-04-05,3.68,3.82,3.68,3.805,3.6501080000000004,483560
2001-04-06,3.83,3.83,3.7,3.71,3.558975,203028
